Transect,Flag,grass_mass,forb_mass,ANPP
S8,1,35.57,2.27,37.84
S8,2,58.81,1.81,60.62
S8,3,73.37,0.75,74.12
S8,4,59.9,7.66,67.56
S8,5,53.93,0,53.93
S8,6,51.1,0,51.1
S8,7,41.65,0,41.65
S8,8,43.51,0,43.51
S8,9,75.8,0,75.8
S8,10,59.31,0,59.31
S8,11,45.13,0,45.13
S8,12,56.46,0,56.46
S8,13,61.75,0,61.75
S8,14,48.37,0,48.37
S8,15,46.83,0,46.83
S8,16,50.33,0,50.33
S8,17,47.88,0,47.88
S8,18,76.01,0,76.01
S8,19,65.43,5.85,71.28
S8,20,60.17,2.72,62.89
S8,21,43.39,1.44,44.83
S8,22,27.4,1.32,28.72
S8,23,58.18,4.07,62.25
S8,24,34.6,5.54,40.14
S8,25,45.56,0.59,46.15
S8,26,64.8,0.77,65.57
S8,27,52.16,1.69,53.85
S8,28,49.3,1.4,50.7
S8,29,47.24,4.04,51.28
S8,30,49.17,28.94,78.11
S8,31,44.73,1.79,46.52
S8,32,30.28,4.08,34.36
N8,1,55.17,0,55.17
N8,2,53.38,0.85,54.23
N8,3,49.34,3.77,53.11
N8,4,49.93,36.78,86.71
N8,5,61.07,0,61.07
N8,6,74.27,0,74.27
N8,7,67.45,0,67.45
N8,8,60.6,0,60.6
N8,9,45.6,0,45.6
N8,10,64.48,0,64.48
N8,11,69.18,0.55,69.73
N8,12,58.55,3.06,61.61
N8,13,66.78,0.34,67.12
N8,14,42.15,3.86,46.01
N8,15,34.15,4.59,38.74
N8,16,52.19,0.25,52.44
N8,17,57.8,1.5,59.3
N8,18,42.39,7.56,49.95
N8,19,70.13,0,70.13
N8,20,53.52,0,53.52
N8,21,50.67,0,50.67
N8,22,39.28,0,39.28
N8,23,41.75,8.82,50.57
N8,24,58.09,0.87,58.96
N8,25,63.38,0,63.38
N8,26,50.18,0.25,50.43
N8,27,52,0,52
N8,28,56.78,0,56.78
N8,29,58.42,0.38,58.8
N8,30,60.15,4.82,64.97
N8,31,46.55,0.74,47.29
N8,32,46.79,0.48,47.27
S6,1,49.12,0,49.12
S6,2,43.91,0.1,44.01
S6,3,68.11,0,68.11
S6,4,31.01,0,31.01
S6,5,64.49,0,64.49
S6,6,42.86,0,42.86
S6,7,45.77,0,45.77
S6,8,49.17,0,49.17
S6,9,64.16,0,64.16
S6,10,50.76,0,50.76
S6,11,36.72,0,36.72
S6,12,28.68,10.29,38.97
S6,13,62.34,0.73,63.07
S6,14,50.66,0,50.66
S6,15,54.4,1.69,56.09
S6,16,57.8,0.79,58.59
S6,17,70.52,3.29,73.81
S6,18,46.21,0,46.21
S6,19,84.96,1.15,86.11
S6,20,89.6,1.41,91.01
S6,21,55.71,1.73,57.44
S6,22,54.82,0.7,55.52
S6,23,64.16,1.08,65.24
S6,24,57.52,0,57.52
S6,25,87.21,2.02,89.23
S6,26,81.8,2.46,84.26
S6,27,69.97,19.6,89.57
S6,28,62.19,1.43,63.62
S6,29,41.26,5.08,46.34
S6,30,60.08,3.96,64.04
S6,31,55.49,2.14,57.63
S6,32,74.82,6.85,81.67
N6,1,48.23,0,48.23
N6,2,57.82,0,57.82
N6,3,53.98,0,53.98
N6,4,61.93,0,61.93
N6,5,67.48,0,67.48
N6,6,65.29,0,65.29
N6,7,50.86,2.82,53.68
N6,8,66.56,0,66.56
N6,9,81.01,0,81.01
N6,10,61.42,0,61.42
N6,11,54.2,0.24,54.44
N6,12,42.62,0,42.62
N6,13,54.89,0,54.89
N6,14,57.41,0.47,57.88
N6,15,40.33,0,40.33
N6,16,55.14,0,55.14
N6,17,58.42,0,58.42
N6,18,54.28,1.63,55.91
N6,19,78.63,0,78.63
N6,20,83.98,0,83.98
N6,21,40.53,0,40.53
N6,22,40.79,0.73,41.52
N6,23,50.26,0.9,51.16
N6,24,38.96,0,38.96
N6,25,45.52,0.54,46.06
N6,26,53.24,1.17,54.41
N6,27,46.87,0.98,47.85
N6,28,47.71,1.19,48.9
N6,29,45.31,0.47,45.78
N6,30,78.87,0.74,79.61
N6,31,58.77,0.17,58.94
N6,32,53.68,0,53.68
